====================================================================================================
run_start_time: 2026-05-06 03:23:39
script: run_nerf_mofasgd.py
expname: fortress_100k_mflr3e-3
dataset_type: llff
datadir: ./data/nerf_llff_data/fortress
resume_start_step: 0
optimizer_setup:
  optimizer_main: MoFaSGD
  mofa_lr_init: 0.003
  mofa_rank: 64
  mofa_beta: 0.95
  mofa_weight_decay: 0.0
  mofa_eta1: 1.0
  mofa_eta2: 0.0
  mofa_eps: 0.0001
  mofa_use_reciprocal_s: False
  mofa_use_current_projection: False
  mofa_nesterov: False
  optimizer_aux: Adam
  aux_adam_lr_init: 0.0005
  aux_adam_betas: (0.9, 0.999)
  lrate_decay_ksteps: 250
  mofa_tensor_count: 20
  adam_tensor_count: 28
  mofa_total_params: 1185536
  adam_total_params: 6152
train_psnr_log:
iter=3900 global_step=3899 loss=0.0058629462 psnr=25.721546 mofa_lr=2.89417811e-03 adam_lr=4.82363019e-04
iter=4000 global_step=3999 loss=0.0058886074 psnr=25.513145 mofa_lr=2.89151370e-03 adam_lr=4.81918950e-04
iter=4100 global_step=4099 loss=0.0052803122 psnr=26.071535 mofa_lr=2.88885175e-03 adam_lr=4.81475291e-04
iter=4200 global_step=4199 loss=0.0062587783 psnr=24.978386 mofa_lr=2.88619224e-03 adam_lr=4.81032040e-04
iter=4300 global_step=4299 loss=0.0054583671 psnr=25.927214 mofa_lr=2.88353518e-03 adam_lr=4.80589197e-04
iter=4400 global_step=4399 loss=0.0063748467 psnr=25.373276 mofa_lr=2.88088057e-03 adam_lr=4.80146762e-04
iter=4500 global_step=4499 loss=0.0064524617 psnr=25.212069 mofa_lr=2.87822840e-03 adam_lr=4.79704734e-04
iter=4600 global_step=4599 loss=0.0063518123 psnr=25.327242 mofa_lr=2.87557868e-03 adam_lr=4.79263113e-04
iter=4700 global_step=4699 loss=0.0061768396 psnr=25.216547 mofa_lr=2.87293139e-03 adam_lr=4.78821899e-04
iter=4800 global_step=4799 loss=0.0058887326 psnr=25.629759 mofa_lr=2.87028654e-03 adam_lr=4.78381090e-04
iter=4900 global_step=4899 loss=0.0060739350 psnr=25.342056 mofa_lr=2.86764413e-03 adam_lr=4.77940688e-04
iter=5000 global_step=4999 loss=0.0059548812 psnr=25.628365 mofa_lr=2.86500415e-03 adam_lr=4.77500691e-04
iter=5100 global_step=5099 loss=0.0062422007 psnr=25.320019 mofa_lr=2.86236659e-03 adam_lr=4.77061099e-04
iter=5200 global_step=5199 loss=0.0056427205 psnr=25.786287 mofa_lr=2.85973147e-03 adam_lr=4.76621912e-04
iter=5300 global_step=5299 loss=0.0056801718 psnr=25.537352 mofa_lr=2.85709877e-03 adam_lr=4.76183129e-04
iter=5400 global_step=5399 loss=0.0058110915 psnr=25.796535 mofa_lr=2.85446850e-03 adam_lr=4.75744750e-04
iter=5500 global_step=5499 loss=0.0054978654 psnr=25.997124 mofa_lr=2.85184065e-03 adam_lr=4.75306775e-04
iter=5600 global_step=5599 loss=0.0051885312 psnr=25.914179 mofa_lr=2.84921521e-03 adam_lr=4.74869202e-04
iter=5700 global_step=5699 loss=0.0058452510 psnr=25.529863 mofa_lr=2.84659220e-03 adam_lr=4.74432033e-04
iter=5800 global_step=5799 loss=0.0055354601 psnr=25.657061 mofa_lr=2.84397160e-03 adam_lr=4.73995266e-04
iter=5900 global_step=5899 loss=0.0054252292 psnr=25.844084 mofa_lr=2.84135341e-03 adam_lr=4.73558901e-04
iter=6000 global_step=5999 loss=0.0056207748 psnr=25.710514 mofa_lr=2.83873763e-03 adam_lr=4.73122938e-04
iter=6100 global_step=6099 loss=0.0052010212 psnr=26.093124 mofa_lr=2.83612426e-03 adam_lr=4.72687377e-04
iter=6200 global_step=6199 loss=0.0050017727 psnr=26.178650 mofa_lr=2.83351330e-03 adam_lr=4.72252216e-04
iter=6300 global_step=6299 loss=0.0052176951 psnr=26.215244 mofa_lr=2.83090473e-03 adam_lr=4.71817456e-04
iter=6400 global_step=6399 loss=0.0049865055 psnr=26.603804 mofa_lr=2.82829858e-03 adam_lr=4.71383096e-04
iter=6500 global_step=6499 loss=0.0045820577 psnr=26.496677 mofa_lr=2.82569482e-03 adam_lr=4.70949136e-04
iter=6600 global_step=6599 loss=0.0051560560 psnr=26.143967 mofa_lr=2.82309345e-03 adam_lr=4.70515575e-04
iter=6700 global_step=6699 loss=0.0047459379 psnr=26.755768 mofa_lr=2.82049448e-03 adam_lr=4.70082414e-04
iter=6800 global_step=6799 loss=0.0050672120 psnr=26.222040 mofa_lr=2.81789791e-03 adam_lr=4.69649651e-04
iter=6900 global_step=6899 loss=0.0046596564 psnr=26.713453 mofa_lr=2.81530372e-03 adam_lr=4.69217287e-04
iter=7000 global_step=6999 loss=0.0048676580 psnr=26.634085 mofa_lr=2.81271193e-03 adam_lr=4.68785321e-04
iter=7100 global_step=7099 loss=0.0049119815 psnr=26.566467 mofa_lr=2.81012252e-03 adam_lr=4.68353753e-04
iter=7200 global_step=7199 loss=0.0054594851 psnr=26.067459 mofa_lr=2.80753549e-03 adam_lr=4.67922581e-04
